epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,3926.15,0.55548,0.36754,0.95965,0.95407,0.81044,0.89906,0.75803,0.70445,0.51833,1.05444,0.000753817,0.000753817,0.000753817
168,3956.07,0.53639,0.35442,0.96111,0.88583,0.85986,0.88979,0.75002,0.68683,0.52127,1.0413,0.000748316,0.000748316,0.000748316
169,3979.32,0.5412,0.36238,0.95878,0.91104,0.84821,0.90172,0.75511,0.7014,0.49354,1.04719,0.000742815,0.000742815,0.000742815
170,4002.56,0.5382,0.34817,0.95599,0.92954,0.83788,0.88599,0.7453,0.69591,0.52023,1.05122,0.000737314,0.000737314,0.000737314
171,4025.81,0.53579,0.35084,0.95192,0.88594,0.84222,0.8954,0.75485,0.73281,0.52166,1.08709,0.000731813,0.000731813,0.000731813
172,4049.37,0.53249,0.36215,0.95109,0.89023,0.83421,0.91315,0.76406,0.73354,0.50822,1.06345,0.000726312,0.000726312,0.000726312
173,4073.23,0.55926,0.36774,0.95315,0.8994,0.85783,0.90971,0.76273,0.74847,0.48115,1.07437,0.000720811,0.000720811,0.000720811
174,4096.92,0.54328,0.36335,0.95625,0.92019,0.86731,0.90744,0.76189,0.72483,0.48586,1.06353,0.00071531,0.00071531,0.00071531
175,4120.17,0.52894,0.35228,0.95269,0.93724,0.84821,0.89876,0.75213,0.73484,0.52662,1.07367,0.000709809,0.000709809,0.000709809
176,4143.64,0.51823,0.33951,0.95015,0.91303,0.82074,0.89684,0.75796,0.74112,0.50743,1.0845,0.000704307,0.000704307,0.000704307
177,4167.28,0.52481,0.35001,0.95329,0.95308,0.82886,0.89537,0.74476,0.72975,0.51063,1.06604,0.000698806,0.000698806,0.000698806
178,4191.47,0.51996,0.35418,0.9499,0.89945,0.83997,0.88571,0.74731,0.7751,0.56707,1.11769,0.000693305,0.000693305,0.000693305
179,4215.31,0.52481,0.35166,0.9437,0.87005,0.88463,0.91388,0.76954,0.68965,0.53755,1.04053,0.000687804,0.000687804,0.000687804
